Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Ana,Peçini,1,1,0,7,0,0,9,Honourable Mention,,84,64
Albania,ALB,ALB2,Fjona,Parllaku,1,2,0,2,1,0,6,,,99,76
Albania,ALB,ALB3,Laura,Sheshi,0,1,0,0,0,0,1,,,139,111
Albania,ALB,ALB4,Liana,Shpani,0,0,0,1,0,0,1,,,139,111
Azerbaijan,AZE,AZE1,Nazrin,Farziyeva,1,0,0,1,1,0,3,,,117,93
Azerbaijan,AZE,AZE2,Rena,Aliyeva,1,0,0,1,1,0,3,,,117,93
Azerbaijan,AZE,AZE3,Javahir,Abbasova,2,0,0,0,1,0,3,,,117,93
Azerbaijan,AZE,AZE4,Sayalı,Mammadova,0,0,0,0,0,0,0,,,142,114
Belgium,BEL,BEL1,Pauline,Bessemans,4,2,0,1,0,0,7,,,92,71
Belgium,BEL,BEL2,Ambre,De Herde,0,0,0,0,0,0,0,,,142,114
Belgium,BEL,BEL3,Charlotte,Léonard,0,0,0,2,0,0,2,,,130,103
Belgium,BEL,BEL4,Mary-Lou,Perrier D'Hauterive,0,1,0,1,1,0,3,,,117,93
Bulgaria,BGR,BGR1,Denitsa,Markova,1,2,2,7,7,7,26,Silver Medal,,17,12
Bulgaria,BGR,BGR2,Violeta,Naydenova,7,7,7,7,7,3,38,Gold Medal,,3,3
Bulgaria,BGR,BGR3,Simona,Kukova,0,7,1,7,1,0,16,Bronze Medal,,47,35
Bulgaria,BGR,BGR4,Mariya,Delyakova,4,7,0,7,1,0,19,Silver Medal,,30,22
Bosnia and Herzegovina,BIH,BIH1,Neira,Kurtović,2,7,0,7,2,5,23,Silver Medal,,21,14
Bosnia and Herzegovina,BIH,BIH2,Adisa,Bolić,7,7,0,7,2,4,27,Gold Medal,,14,9
Bosnia and Herzegovina,BIH,BIH3,Tijana,Babić,2,2,0,7,7,0,18,Silver Medal,,33,25
Bosnia and Herzegovina,BIH,BIH4,Milica,Babić,2,2,2,1,6,0,13,Bronze Medal,,63,49
Belarus,BLR,BLR1,Lizaveta,Manzhulina,7,3,1,7,3,0,21,Silver Medal,,26,18
Belarus,BLR,BLR2,Katsiaryna,Kunts,0,1,1,7,5,0,14,Bronze Medal,,56,43
Belarus,BLR,BLR3,Swetlana,Shaban,1,2,2,7,0,0,12,Bronze Medal,,68,53
Belarus,BLR,BLR4,Arina,Goloubitskaya,1,3,1,7,3,0,15,Bronze Medal,,50,38
Cyprus,CYP,CYP1,Anna,Economou,0,2,0,7,0,0,9,Honourable Mention,,84,64
Cyprus,CYP,CYP2,Ariadni,Assou,1,1,0,0,1,0,3,,,117,93
Cyprus,CYP,CYP3,Maria Olymbia,Tsianni,1,2,0,1,0,0,4,,,105,82
Cyprus,CYP,CYP4,Evgenia,Ilia,0,2,0,1,0,0,3,,,117,93
Czech Republic,CZE,CZE1,Klára,Karasová,1,1,0,1,1,0,4,,,105,82
Czech Republic,CZE,CZE2,Lenka,Kopfová,0,1,2,7,2,0,12,Bronze Medal,,68,53
Czech Republic,CZE,CZE3,Zuzana,Procházková,3,1,0,0,1,0,5,,,100,77
Czech Republic,CZE,CZE4,Hedvika,Ranošová,1,2,0,0,1,0,4,,,105,82
Ecuador,ECU,ECU1,Angela,Bastidas,1,2,1,0,0,0,4,,,105,
Ecuador,ECU,ECU2,Valerie,Bustos,0,2,0,1,0,0,3,,,117,
Ecuador,ECU,ECU3,Ana Paula,Indacochea,0,1,0,1,1,0,3,,,117,
Ecuador,ECU,ECU4,Lissette,Maingón,0,2,0,0,1,0,3,,,117,
Spain,ESP,ESP1,Berta,Garcia,0,2,2,7,6,0,17,Silver Medal,,37,28
Spain,ESP,ESP2,Victoria,Arenas,0,0,0,0,0,0,0,,,142,114
Spain,ESP,ESP3,Lucía de Fang,Ma Li,0,0,0,0,0,0,0,,,142,114
Spain,ESP,ESP4,Lucía,Mallo,1,1,0,0,0,0,2,,,130,103
Finland,FIN,FIN1,Ella,Anttila,7,1,3,0,3,0,14,Bronze Medal,,56,43
France,FRA,FRA1,Linda,Gutsche,7,2,1,3,4,0,17,Silver Medal,,37,28
France,FRA,FRA2,Eve,Mattatia,0,3,0,0,2,0,5,,,100,77
France,FRA,FRA3,Julia,Mosseri,0,1,0,0,1,0,2,,,130,103
France,FRA,FRA4,Lucie,Wang,7,7,1,7,5,0,27,Gold Medal,,14,9
Georgia,GEO,GEO1,Elene,Karangozishvili,7,2,2,3,3,0,17,Silver Medal,,37,28
Georgia,GEO,GEO2,Mariam,Rogava,7,2,0,0,2,0,11,Bronze Medal,,74,59
Georgia,GEO,GEO3,Sophie,Bregadze,7,1,1,1,1,4,15,Bronze Medal,,50,38
Georgia,GEO,GEO4,Gvantsa,Tsutskhashvili,1,3,0,3,0,0,7,,,92,71
Hungary,HUN,HUN1,Zsuzsanna,Baran,7,7,7,7,7,1,36,Gold Medal,,5,4
Hungary,HUN,HUN2,Miléna,Vankó,4,3,3,2,2,1,15,Bronze Medal,,50,38
Hungary,HUN,HUN3,Hanna,Gál,1,1,1,0,4,1,8,,,90,69
Hungary,HUN,HUN4,Viktória,Klász,7,2,2,0,2,0,13,Bronze Medal,,63,49
India,IND,IND1,Haimoshri,Das,1,3,1,2,2,0,9,,,84,
India,IND,IND2,Uma T. V.,Iyer,5,1,0,7,1,1,15,Bronze Medal,,50,
Ireland,IRL,IRL1,Toni Aidong,Huang,0,1,0,3,1,0,5,,,100,77
Ireland,IRL,IRL2,Anna,Mustata,4,7,0,7,2,0,20,Silver Medal,,28,20
Ireland,IRL,IRL3,Ioana,Grigoras,1,2,0,7,1,0,11,Bronze Medal,,74,59
Ireland,IRL,IRL4,Katie Louise,O'Connor,0,1,1,1,0,0,3,,,117,93
Israel,ISR,ISR1,Shira,Ben Dor,7,1,4,4,1,0,17,Silver Medal,,37,
Israel,ISR,ISR2,Maya,Naveh,7,0,2,7,7,0,23,Silver Medal,,21,
Italy,ITA,ITA1,Linda,Friso,3,2,0,1,2,0,8,,,90,69
Italy,ITA,ITA2,Maria Chiara,Ricciuti,7,2,0,7,1,0,17,Silver Medal,,37,28
Italy,ITA,ITA3,Francesca,Rizzo,1,3,0,7,1,0,12,Bronze Medal,,68,53
