Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Seli,Lulaj,7,1,0,1,0,0,9,Honourable Mention,,147,102
Albania,ALB,ALB2,Aleksa,Kolo,7,6,0,1,0,0,14,Honourable Mention,,109,72
Albania,ALB,ALB3,Megi,Reka,5,0,0,0,7,0,12,Honourable Mention,,123,83
Albania,ALB,ALB4,Dhespina,Pecini,7,0,0,1,0,0,8,Honourable Mention,,159,113
Australia,AUS,AUS1,Grace Sien,He,7,5,3,7,1,0,23,Silver Medal,,46,
Australia,AUS,AUS2,Xinyue Alice,Zhang,7,3,2,7,0,0,19,Bronze Medal,,69,
Australia,AUS,AUS3,Tianyue,Zheng,7,1,2,6,3,0,19,Bronze Medal,,69,
Australia,AUS,AUS4,Yifan,Guo,2,2,1,7,0,0,12,Honourable Mention,,123,
Austria,AUT,AUT1,Stefanie,Rauch,3,1,0,2,0,0,6,,,169,121
Austria,AUT,AUT2,Veronika,Schreitter,7,2,3,7,0,2,21,Bronze Medal,,57,37
Austria,AUT,AUT3,Nadja,Vohradsky,0,2,1,4,0,0,7,,,165,119
Azerbaijan,AZE,AZE1,Zahra,Bayramli,3,1,0,0,0,0,4,,,177,127
Azerbaijan,AZE,AZE2,Fidan,Babayeva,1,1,0,0,0,0,2,,,182,130
Azerbaijan,AZE,AZE3,Shams,Aliyeva,1,1,0,2,0,0,4,,,177,127
Azerbaijan,AZE,AZE4,Javahir,Abbasova,3,3,0,1,1,0,8,,,159,113
Belgium,BEL,BEL1,Soline,Casavecchia,7,2,0,1,0,0,10,Honourable Mention,,139,94
Belgium,BEL,BEL2,Jueun,Kim,6,2,0,0,1,0,9,,,147,102
Belgium,BEL,BEL3,Thelma,Lambert,0,1,1,5,0,0,7,,,165,119
Belgium,BEL,BEL4,Marie,Peeters,7,2,3,7,1,0,20,Bronze Medal,,62,41
Bulgaria,BGR,BGR1,Simona,Kukova,7,2,1,2,7,0,19,Bronze Medal,,69,46
Bulgaria,BGR,BGR2,Assel,Ismoldayeva,0,2,2,7,3,0,14,Honourable Mention,,109,72
Bulgaria,BGR,BGR3,Lyuba,Konova,7,6,1,7,7,0,28,Silver Medal,,27,20
Bulgaria,BGR,BGR4,Joana,Nikolova,7,1,7,7,0,0,22,Silver Medal,,52,35
Bosnia and Herzegovina,BIH,BIH1,Tijana,Babić,7,5,3,7,7,0,29,Silver Medal,,22,17
Bosnia and Herzegovina,BIH,BIH2,Lejla,Skelić,7,1,0,4,1,0,13,Honourable Mention,,117,79
Bosnia and Herzegovina,BIH,BIH3,Nevena,Radešić,7,2,2,7,0,0,18,Bronze Medal,,76,49
Bosnia and Herzegovina,BIH,BIH4,Milica,Đokić,7,1,0,1,7,0,16,Bronze Medal,,91,58
Belarus,BLR,BLR1,Arina,Goloubitskaya,7,7,3,7,7,0,31,Silver Medal,,18,13
Belarus,BLR,BLR2,Aliaksandra,Novik,7,5,3,7,7,0,29,Silver Medal,,22,17
Belarus,BLR,BLR3,Yuliya,Kryvitskaya,7,7,2,7,1,1,25,Silver Medal,,35,25
Belarus,BLR,BLR4,Katsiaryna,Maroz,6,3,0,5,0,0,14,,,109,72
Bolivia,BOL,BOL1,Hyandira Helen,Ventura Cruz,2,0,0,0,0,0,2,,,182,
Bolivia,BOL,BOL3,Mariana,Galvarro,2,0,0,0,0,0,2,,,182,
Bolivia,BOL,BOL4,Lucero Andrea,De La Torre Ugarte Diaz De Oropeza,0,0,0,0,0,0,0,,,192,
Brazil,BRA,BRA1,Ana Beatriz,Studart,7,7,0,7,4,0,25,Silver Medal,,35,
