Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Belgium,BEL,BEL1,Pauline,Bessemans,1,3,0,0,0,0,4,,,86,66
Belgium,BEL,BEL2,Morine,Delhelle,7,0,0,1,0,0,8,Honourable Mention,,72,54
Belgium,BEL,BEL3,France,Gheeraert,4,1,0,5,0,0,10,,,61,46
Belgium,BEL,BEL4,Manon,Mackels,1,1,0,0,0,0,2,,,97,76
Bulgaria,BGR,BGR1,Denitsa,Markova,7,3,7,1,7,0,25,Silver Medal,,13,9
Bulgaria,BGR,BGR2,Violeta,Naydenova,7,3,1,7,3,0,21,Silver Medal,,22,18
Bulgaria,BGR,BGR3,Magdalena,Georgieva,7,2,0,7,7,0,23,Silver Medal,,17,13
Bulgaria,BGR,BGR4,Dona-Maria,Ivanova,2,1,0,7,1,0,11,Bronze Medal,,57,42
Belarus,BLR,BLR1,Katsiaryna,Kunts,7,1,0,7,1,0,16,Bronze Medal,,35,29
Belarus,BLR,BLR2,Lizaveta,Manzhulina,5,2,0,7,1,0,15,Bronze Medal,,42,33
Belarus,BLR,BLR3,Ina,Rudovich,7,0,0,0,1,0,8,Honourable Mention,,72,54
Belarus,BLR,BLR4,Swetlana,Shaban,7,0,1,0,2,0,10,Honourable Mention,,61,46
Belarus B,BLRB,BLRB1,Diana,Fomina,7,1,7,0,0,0,15,Bronze Medal,,42,
Belarus B,BLRB,BLRB2,Tatsiana,Palikarpava,2,0,0,0,0,0,2,,,97,
Belarus B,BLRB,BLRB3,Anhelina,Yarashenka,1,1,0,6,0,0,8,,,72,
Belarus B,BLRB,BLRB4,Hanna,Zadarazhniuk,1,1,0,7,0,0,9,Honourable Mention,,66,
Finland,FIN,FIN1,Ella,Anttila,1,0,2,1,2,0,6,,,81,61
Finland,FIN,FIN2,Ella,Tamir,1,1,0,1,2,0,5,,,83,63
Finland,FIN,FIN3,Tara,Vaittinen,0,0,0,0,0,0,0,,,109,85
